25	20.977948000	0x0201	0	2
207	31.062369000	0x035d	0	64
291	31.499226000	0x035d	0	64
297	31.501234000	0x035d	0	64
301	31.664371000	0x035d	0	64
385	32.071910000	0x035d	0	64
387	32.073230000	0x035d	0	64
393	32.078800000	0x035d	0	64
397	32.081605000	0x035d	0	64
401	33.325004000	0x035d	0	64
403	33.326424000	0x035d	0	64
449	33.352121000	0x035d	0	64
450	33.352148000	0x035d	0	64
460	33.358047000	0x035d	0	64
480	33.368999000	0x035d	0	64
490	33.373220000	0x035d	0	64
551	33.408877000	0x035d	0	64
595	33.437306000	0x035d	0	64
597	33.438373000	0x035d	0	64
601	33.441040000	0x035d	0	64
605	33.443560000	0x035d	0	64
606	33.443575000	0x035d	0	64
608	33.444895000	0x035d	0	64
615	33.455207000	0x035d	0	64
619	33.464181000	0x035d	0	64
630	33.477336000	0x035d	0	64
667	33.499936000	0x035d	0	64
709	33.526130000	0x035d	0	64
751	33.563056000	0x035d	0	64
757	33.568806000	0x035d	0	64
764	33.572595000	0x035d	0	64
772	33.577058000	0x035d	0	64
780	33.581104000	0x035d	0	64
792	33.588140000	0x035d	0	64
810	33.599368000	0x035d	0	64
817	33.603506000	0x035d	0	64
847	33.624949000	0x025d	0	64
850	33.626296000	0x025d	0	64
854	33.628925000	0x025d	0	64
869	33.634753000	0x035d	0	64
871	33.636005000	0x035d	0	64
877	33.661395000	0x025d	0	64
879	33.663012000	0x035a	0	64
881	33.664452000	0x025d	0	64
885	33.666220000	0x025d	0	64
891	33.804845000	0x035d	0	64
895	33.807367000	0x035d	0	64
901	33.809303000	0x035d	0	64
905	33.812324000	0x035d	0	64
909	33.817138000	0x035d	0	64
913	33.825206000	0x035d	0	64
917	33.857520000	0x035d	0	64
921	33.882760000	0x025d	0	64
923	33.884189000	0x025d	0	64
927	33.885901000	0x025d	0	64
941	34.170321000	0x025d	0	64
943	34.172108000	0x025d	0	64
947	34.173514000	0x025d	0	64
993	36.747554000	0x035d	0	64
995	36.749126000	0x035d	0	64
999	36.750718000	0x035d	0	64
1003	36.752932000	0x035d	0	64
1007	36.754214000	0x035d	0	64
1027	36.760221000	0x035d	0	64
1032	36.761456000	0x035d	0	64
1038	36.763326000	0x035d	0	64
1045	36.765222000	0x035d	0	64
1049	36.766476000	0x035d	0	64
1067	36.774354000	0x035d	0	64
1069	36.775870000	0x035d	0	64
1073	36.776877000	0x035d	0	64
1079	36.778802000	0x035d	0	64
1081	36.780388000	0x035d	0	64
1091	42.566310000	0x035d	0	64
1102	50.737143000	0x0201	0	2
1661	80.778678000	0x0201	0	2
1732	92.448791000	0x025d	0	64
1733	92.448799000	0x0201	0	2
1736	92.450416000	0x025d	0	64
1739	92.452685000	0x025d	0	64
1747	92.542336000	0x0305	1	10
1749	94.292872000	0x025d	0	64
1751	94.295000000	0x025d	0	64
1753	94.296753000	0x025d	0	64
1761	94.335589000	0x0305	1	10
1763	94.398038000	0x0305	1	10
1765	94.476393000	0x0305	1	10
1767	94.537305000	0x0305	1	10
1769	94.600154000	0x0305	1	10
1771	94.661039000	0x0305	1	10
1773	94.723902000	0x0305	1	10
1775	94.786032000	0x0305	1	10
1777	94.847763000	0x0305	1	10
1779	94.910329000	0x0305	1	10
1781	94.989041000	0x0305	1	10
1783	95.051988000	0x0305	1	10
1785	95.114343000	0x0305	1	10
1787	95.177049000	0x0305	1	10
1789	95.238386000	0x0305	1	10
1791	95.300702000	0x0305	1	10
1793	95.362291000	0x0305	1	10
1795	95.423965000	0x0305	1	10
1797	95.500801000	0x0305	1	10
1799	95.562796000	0x0305	1	10
1801	95.685239000	0x0305	1	10
1803	95.749874000	0x0305	1	10
1805	95.810682000	0x0305	1	10
1807	95.873472000	0x0305	1	10
1809	95.933896000	0x0305	1	10
1811	96.012032000	0x0305	1	10
1813	96.072846000	0x0305	1	10
1815	96.135599000	0x0305	1	10
1817	96.168807000	0x025d	0	64
1819	96.170291000	0x025d	0	64
1821	96.172234000	0x025d	0	64
1829	96.197769000	0x0305	1	10
1831	96.210031000	0x0305	1	10
1833	96.274983000	0x0305	1	10
