25	20.977948000			
207	31.062369000			
291	31.499226000			
297	31.501234000			
301	31.664371000			
385	32.071910000			
387	32.073230000			
393	32.078800000			
397	32.081605000			
401	33.325004000			
403	33.326424000			
449	33.352121000			
450	33.352148000			
460	33.358047000			
480	33.368999000			
490	33.373220000			
551	33.408877000			
595	33.437306000			
597	33.438373000			
601	33.441040000			
605	33.443560000			
606	33.443575000			
608	33.444895000			
615	33.455207000			
619	33.464181000			
630	33.477336000			
667	33.499936000			
709	33.526130000			
751	33.563056000			
757	33.568806000			
764	33.572595000			
772	33.577058000			
780	33.581104000			
792	33.588140000			
810	33.599368000			
817	33.603506000			
847	33.624949000			
850	33.626296000			
854	33.628925000			
869	33.634753000			
871	33.636005000			
877	33.661395000			
879	33.663012000			
881	33.664452000			
885	33.666220000			
891	33.804845000			
895	33.807367000			
901	33.809303000			
905	33.812324000			
909	33.817138000			
913	33.825206000			
917	33.857520000			
921	33.882760000			
923	33.884189000			
927	33.885901000			
941	34.170321000			
943	34.172108000			
947	34.173514000			
993	36.747554000			
995	36.749126000			
999	36.750718000			
1003	36.752932000			
1007	36.754214000			
1027	36.760221000			
1032	36.761456000			
1038	36.763326000			
1045	36.765222000			
1049	36.766476000			
1067	36.774354000			
1069	36.775870000			
1073	36.776877000			
1079	36.778802000			
1081	36.780388000			
1091	42.566310000			
1102	50.737143000			
1661	80.778678000			
1732	92.448791000			
1733	92.448799000			
1736	92.450416000			
1739	92.452685000			
1747	92.542336000			
1749	94.292872000			
1751	94.295000000			
1753	94.296753000			
1761	94.335589000			
1763	94.398038000			
1765	94.476393000			
1767	94.537305000			
1769	94.600154000			
1771	94.661039000			
1773	94.723902000			
1775	94.786032000			
1777	94.847763000			
1779	94.910329000			
1781	94.989041000			
1783	95.051988000			
1785	95.114343000			
1787	95.177049000			
1789	95.238386000			
1791	95.300702000			
1793	95.362291000			
1795	95.423965000			
1797	95.500801000			
1799	95.562796000			
1801	95.685239000			
1803	95.749874000			
1805	95.810682000			
1807	95.873472000			
1809	95.933896000			
1811	96.012032000			
1813	96.072846000			
1815	96.135599000			
1817	96.168807000			
1819	96.170291000			
1821	96.172234000			
1829	96.197769000			
1831	96.210031000			
1833	96.274983000			
1835	96.338887000			
1837	96.400381000			
1839	96.477463000			
1841	96.539459000			
1843	96.601322000			
1845	96.664316000			
1847	96.725626000			
1849	96.785766000			
1851	96.863247000			
1853	96.924829000			
1855	96.987181000			
1857	97.047154000			
1859	97.109147000			
1861	97.170848000			
1863	97.246898000			
1865	97.307536000			
1867	97.370340000			
1869	97.430841000			
1871	97.492138000			
1873	97.553834000			
1875	97.618470000			
1877	97.620042000			
1881	97.622027000			
1887	97.631286000			
1889	97.656673000			
1891	97.675144000			
1893	97.740377000			
1895	97.802103000			
1897	97.862853000			
1899	97.923310000			
1901	97.985336000			
1903	98.046743000			
1905	98.125845000			
1907	98.186928000			
1909	98.249591000			
1911	98.311381000			
1913	98.372925000			
1915	98.433764000			
1917	98.498016000			
1919	98.561094000			
1921	98.622575000			
1923	98.685010000			
1925	98.762166000			
1927	98.823721000			
1929	98.886517000			
1931	98.947389000			
1933	99.009206000			
1935	99.072694000			
1937	99.135552000			
1939	99.199227000			
1941	99.262078000			
1943	99.338207000			
1945	99.400704000			
1947	99.418763000			
1949	99.420464000			
1953	99.422421000			
1959	99.463356000			
1961	99.477061000			
1963	99.478628000			
1965	99.540422000			
1967	99.541936000			
1969	99.602016000			
1971	99.603671000			
1973	99.664936000			
1975	99.666634000			
1977	99.740575000			
1979	99.742291000			
1981	99.801527000			
1983	99.802886000			
1985	99.864035000			
1987	99.865625000			
1989	99.928091000			
1991	99.929436000			
1993	99.992083000			
1995	99.993722000			
1997	100.051386000			
1999	100.052897000			
2001	100.112385000			
2003	100.113895000			
2005	100.174593000			
2007	100.176183000			
2009	100.250723000			
2011	100.252117000			
2013	100.313595000			
2015	100.315176000			
2017	100.374874000			
2019	100.375990000			
2021	100.436726000			
2023	100.438170000			
2025	100.500889000			
2027	100.502452000			
2029	100.564070000			
2031	100.565707000			
2033	100.627365000			
2035	100.628893000			
2037	100.689544000			
2039	100.691134000			
2041	100.752066000			
2043	100.753580000			
2045	100.816131000			
2047	100.817768000			
2049	100.877481000			
2051	100.879104000			
2053	100.955074000			
2055	100.956694000			
2057	100.988926000			
2059	100.990718000			
2061	100.992570000			
2069	101.016558000			
2071	101.017682000			
2073	101.031050000			
2075	101.032197000			
2077	101.045076000			
2079	101.046154000			
2081	101.108323000			
2083	101.109855000			
2085	101.172095000			
2087	101.173692000			
2089	101.234516000			
2091	101.236004000			
2093	101.296279000			
2095	101.297745000			
2097	101.358051000			
2099	101.359709000			
2101	101.434679000			
2103	101.435885000			
2105	101.496217000			
2107	101.497751000			
2109	101.560077000			
2111	101.561684000			
2113	101.620283000			
2115	101.621672000			
2117	101.683339000			
2119	101.684684000			
2121	101.743584000			
2123	101.745064000			
2125	101.806750000			
2127	101.808180000			
2129	101.883932000			
2131	101.885183000			
2133	101.944809000			
2135	101.946078000			
2137	102.007039000			
2139	102.008454000			
2141	102.068042000			
2143	102.069259000			
2145	102.129774000			
2147	102.131463000			
2149	102.191138000			
2151	102.192682000			
2153	102.268924000			
2155	102.270257000			
2157	102.328546000			
2159	102.329842000			
2161	102.390914000			
2163	102.392329000			
2165	102.451183000			
2167	102.452668000			
2169	102.513599000			
2171	102.515305000			
2173	102.575808000			
2175	102.577169000			
2177	102.637305000			
2179	102.638901000			
2181	102.714712000			
2183	102.716309000			
2185	102.774694000			
2187	102.837322000			
2188	102.838382000			
2191	102.840321000			
2195	102.841877000			
2201	102.875779000			
2203	103.428707000			
2205	104.580615000			
2207	104.582332000			
2209	104.583836000			
2217	104.943983000			
2219	106.191259000			
2221	106.192943000			
2225	106.194497000			
2231	106.939468000			
2233	107.037743000			
2235	107.815280000			
2237	107.844677000			
2239	107.846309000			
2241	107.847788000			
2249	107.967214000			
2251	110.244069000			
2253	110.245687000			
2255	110.247279000			
2263	110.614063000			
2265	110.615795000			
2267	110.653434000			
2269	110.718078000			
2271	110.781200000			
2273	110.846182000			
2275	110.910735000			
2277	110.912391000			
2279	110.973418000			
2281	110.975042000			
2283	111.037255000			
2285	111.038769000			
2287	111.101777000			
2289	111.103105000			
2291	111.165682000			
2293	111.167269000			
2295	111.231172000			
2297	111.232718000			
2299	111.294719000			
2301	111.296028000			
2303	111.359238000			
2305	111.360810000			
2307	111.422476000			
2309	111.423894000			
2311	111.485829000			
2313	111.487211000			
2315	111.549508000			
2317	111.550851000			
2319	111.614191000			
2321	111.615656000			
2323	111.677619000			
2325	111.679193000			
2327	111.741607000			
2329	111.742798000			
2331	111.805267000			
2333	111.806792000			
2335	111.871607000			
2337	111.933890000			
2339	111.935231000			
2341	111.999082000			
2343	112.061117000			
2345	112.062681000			
2347	112.127057000			
2349	112.190733000			
2351	112.192284000			
2353	112.254699000			
2355	112.318859000			
2357	112.320487000			
2359	112.381792000			
2361	112.445252000			
2363	112.509552000			
2365	112.511071000			
2367	112.573784000			
2369	112.637606000			
2371	112.639303000			
2373	112.701955000			
2375	112.703306000			
2377	112.765508000			
2379	112.767046000			
2381	112.829455000			
2383	112.830980000			
2385	112.894033000			
2387	112.895628000			
2389	112.957443000			
2391	112.959023000			
2393	113.022419000			
2395	113.023974000			
2397	113.086131000			
2399	113.087791000			
2401	113.150864000			
2403	113.152368000			
2405	113.213996000			
2407	113.215230000			
2409	113.278115000			
2411	113.279863000			
2413	113.342942000			
2415	113.344440000			
2421	113.406069000			
2423	113.407705000			
2429	113.470691000			
2431	113.472173000			
2435	113.534441000			
2439	113.598230000			
2441	113.664744000			
2451	113.726104000			
2453	113.789828000			
2459	113.854605000			
2461	113.917275000			
2463	113.918968000			
2469	113.983109000			
2471	114.045651000			
2477	114.109542000			
2479	114.174909000			
2481	114.176610000			
2487	114.237355000			
2489	114.238826000			
2499	114.301554000			
2501	114.303019000			
2503	114.365804000			
2505	114.367457000			
2507	114.431218000			
2509	114.432756000			
2519	114.494275000			
2521	114.495963000			
2523	114.559073000			
2525	114.560654000			
2531	114.621811000			
2533	114.623133000			
2539	114.686926000			
2541	114.688428000			
2543	114.749358000			
2545	114.750988000			
2555	114.813386000			
2557	114.814899000			
2559	114.877808000			
2561	114.879382000			
2565	114.942739000			
2567	114.944208000			
2571	115.006414000			
2577	115.070698000			
2579	115.133169000			
2589	115.197563000			
2591	115.262336000			
2601	115.326325000			
2603	115.390384000			
