1	0.000000000	0x80	6			18
3	0.000000000	0x80	6			59
5	0.000000000	0x00	9		0	0
19	20.977277000	0x21				
20	20.977300000	0x21				
25	20.977948000	0x21				
107	28.031215000	0x80	6			1026
109	28.032223000	0x80	6			1026
111	28.033464000	0x80	6			1026
113	28.034535000	0x80	6			1026
115	28.035753000	0x80	6			1026
117	28.036754000	0x80	6			1026
119	28.037841000	0x80	6			1026
121	28.039211000	0x80	6			1026
123	28.040415000	0x80	6			1026
125	28.041559000	0x80	6			1026
127	28.042516000	0x80	6			1026
129	28.043550000	0x80	6			1026
131	28.045232000	0x80	6			1026
133	28.046545000	0x80	6			1026
135	28.048086000	0x80	6			1026
137	28.049478000	0x80	6			1026
139	28.050825000	0x80	6			1026
141	28.051823000	0x80	6			1026
143	28.052782000	0x80	6			1026
145	28.053640000	0x80	6			1026
147	28.630983000	0x80	6			1026
149	28.632695000	0x80	6			1026
151	28.633696000	0x80	6			1026
153	28.634733000	0x80	6			1026
155	28.635857000	0x80	6			1026
157	28.637272000	0x80	6			1026
159	28.638336000	0x80	6			1026
161	28.639401000	0x80	6			1026
163	28.640649000	0x80	6			1026
165	28.641689000	0x80	6			1026
167	28.642846000	0x80	6			1026
169	28.643782000	0x80	6			1026
171	28.645971000	0x80	6			1026
173	28.647247000	0x80	6			1026
175	28.648951000	0x80	6			1026
177	28.650257000	0x80	6			1026
179	28.651551000	0x80	6			1026
181	28.652608000	0x80	6			1026
183	28.653735000	0x80	6			1026
185	28.654859000	0x80	6			1026
207	31.062369000	0x21				
209	31.064092000	0x80	6			1026
211	31.065483000	0x80	6			1026
213	31.066638000	0x80	6			1026
215	31.067647000	0x80	6			1026
217	31.068648000	0x80	6			1026
219	31.069715000	0x80	6			1026
221	31.070721000	0x80	6			1026
223	31.071706000	0x80	6			1026
225	31.072812000	0x80	6			1026
227	31.073815000	0x80	6			1026
229	31.074855000	0x80	6			1026
231	31.075865000	0x80	6			1026
233	31.077591000	0x80	6			1026
235	31.078601000	0x80	6			1026
237	31.080004000	0x80	6			1026
