249	31.086549000	0x035d	64
293	31.500391000	0x035d	64
299	31.502962000	0x035d	64
343	31.690521000	0x035d	64
389	32.074696000	0x035d	64
395	32.080347000	0x035d	64
399	32.082943000	0x035d	64
447	33.350931000	0x035d	64
452	33.353367000	0x035d	64
464	33.360253000	0x035d	64
484	33.371491000	0x035d	64
494	33.375164000	0x035d	64
509	33.383446000	0x035d	64
593	33.434805000	0x035d	64
599	33.439859000	0x035d	64
603	33.442383000	0x035d	64
610	33.446124000	0x035d	64
612	33.447551000	0x035d	64
617	33.456839000	0x035d	64
621	33.465693000	0x035d	64
634	33.478962000	0x035d	64
760	33.570539000	0x035d	64
768	33.574976000	0x035d	64
776	33.579059000	0x035d	64
784	33.583559000	0x035d	64
796	33.590321000	0x035d	64
814	33.601531000	0x035d	64
875	33.637348000	0x035d	64
893	33.806234000	0x035d	64
897	33.808313000	0x035d	64
903	33.811090000	0x035d	64
907	33.813466000	0x035d	64
911	33.818712000	0x035d	64
915	33.826544000	0x035d	64
919	33.858896000	0x035d	64
1001	36.752139000	0x035d	64
1016	36.755309000	0x035d	64
1041	36.764368000	0x035d	64
1053	36.768027000	0x035d	64
1077	36.777967000	0x035d	64
1083	36.781917000	0x035d	64
1093	42.567979000	0x035d	64
